시도교육청코드,시도교육청명,행정표준코드,학교명,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일자
C10,부산광역시교육청,       ,(가칭)에코4초등학교,(tentative name) ECO4 ELEMENTARY SCHOOL,초등학교,부산광역시,부산광역시북부교육지원청,공립,46637 ,부산광역시 북구 백양대로1016번다길 44,(구포동),051-330-1200,http://,남여공학,,,N,,,전기,주간,20260301,20260301,20230917
C10,부산광역시교육청,       ,(가칭)에코특수학교,(tentative name) ECO SPECIAL-EDUCATION SCHOOL,특수학교,부산광역시,부산광역시교육청,공립,47119 ,부산광역시 부산진구 화지로 12,(양정동),051-860-0114,http://,남여공학,,,N,,,전기,주간,20260301,20260301,20230917
C10,부산광역시교육청,7181010,가남초등학교,Ga Nam Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47332 ,부산광역시 부산진구 엄광로 325,(가야동),051-893-2702,www.ga-nam.es.kr,남여공학,051-893-2726,  ,N,일반계,,전기,주간,19730301,19730301,20230615
C10,부산광역시교육청,7211215,가동초등학교,Gadong Elementary School,초등학교,부산광역시,부산광역시해운대교육지원청,공립,46013 ,부산광역시 기장군 정관읍 정관5로 100,(정관읍),051-780-3700,http://ga-dong.es.kr,남여공학,051-727-9558,,N,일반계,,전기,주간,20150301,20150301,20230615
C10,부산광역시교육청,7201044,가락초등학교,Garak Elementary School,초등학교,부산광역시,부산광역시북부교육지원청,공립,46708 ,부산광역시 강서구 호계로 41,(죽림동/가락초등학교),051-972-8055,http://school.busanedu.net/garak-e/main.do,남여공학,051-972-1375,,N,일반계,,전기,주간,19231011,19231011,20230615
C10,부산광역시교육청,7201011,가람중학교,Garam Middle School,중학교,부산광역시,부산광역시북부교육지원청,공립,46585 ,부산광역시 북구 낙동북로663번길 55,(구포동/ 가람중학교),051-330-4800,www.garam.ms.kr,남여공학,051-330-4808,  ,N,일반계,,전기,주간,19530406,19530406,20230615
C10,부산광역시교육청,7181011,가산초등학교,Busangasan Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47339 ,부산광역시 부산진구 엄광로182번길 49,(가야동/ 가산초등학교),051-892-9765,http://pusangasan.es.kr,남여공학,051-891-5979,  ,N,일반계,,전기,주간,19790507,19790507,20230615
C10,부산광역시교육청,7150119,가야고등학교,Gaya High School,고등학교,부산광역시,부산광역시교육청,사립,47341 ,부산광역시 부산진구 엄광로 152,(가야동/ 가야고등학교),051-893-1881,http://www.gaya.hs.kr,남여공학,051-892-1888,일반고,N,일반계,,전기,주간,19540904,19540904,20230910
C10,부산광역시교육청,7181070,가야여자중학교,Gaya girls middle School,중학교,부산광역시,부산광역시남부교육지원청,공립,47339 ,부산광역시 부산진구 엄광로182번길 15-25,(가야동/ 가야여자중학교),051-890-5400,http://gaya-gm.ms.kr,여,051-895-1256,,N,일반계,,전기,주간,19721229,19731008,20230615
C10,부산광역시교육청,7181012,가야초등학교,Gaya Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47330 ,부산광역시 부산진구 대학로 22,(가야동/ 가야초등학교),051-892-3515,http://www.ka-ya.es.kr,남여공학,051-891-0859,  ,N,일반계,,전기,주간,19481101,19481101,20230615
C10,부산광역시교육청,7181013,가평초등학교,Gapyeong Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47385 ,부산광역시 부산진구 가야대로482번길 87,(가야동/ 가평초등학교),051-895-1351,http://school.busanedu.net/busangapyeong-e/main.do,남여공학,051-895-1353,  ,N,일반계,,전기,주간,19770901,19770901,20230615
C10,부산광역시교육청,7181071,감만중학교,GAMMAN Middle School,중학교,부산광역시,부산광역시남부교육지원청,공립,48539 ,부산광역시 남구 홍곡로 313-14,(감만동),051-640-6400,http://www.gamman.ms.kr,남여공학,051-640-6481,  ,N,일반계,,전기,주간,19751114,19751114,20230615
C10,부산광역시교육청,7201045,감전초등학교,Gamjeon Elementary School,초등학교,부산광역시,부산광역시북부교육지원청,공립,46984 ,부산광역시 사상구 괘감로 132,(감전동/감전초등학교/북부교육청),051-310-8300,http://gamjeon.es.kr,남여공학,051-327-8543,,N,일반계,,전기,주간,19750301,19750301,20230615
C10,부산광역시교육청,7171010,감천중학교,Gamcheon Middle School,중학교,부산광역시,부산광역시서부교육지원청,공립,49362 ,부산광역시 사하구 감천로73번길 60,(감천동/ 감천중학교),051-208-3035,http://gamcheon.ms.kr,남여공학,051-208-5194,  ,N,일반계,,전기,주간,19821217,19821217,20230615
C10,부산광역시교육청,7171044,감천초등학교,Gamcheon Elementary School,초등학교,부산광역시,부산광역시서부교육지원청,공립,49451 ,부산광역시 사하구 원양로 368-2,(감천동/ 감천초등학교),051-206-9482,www.gam.es.kr,남여공학,051-206-9484,,N,일반계,,전기,주간,19520328,19520328,20230615
C10,부산광역시교육청,7211039,강동초등학교,Gangdong Elementary School,초등학교,부산광역시,부산광역시해운대교육지원청,공립,48062 ,부산광역시 해운대구 해운대로349번길 10,(우동/ 강동초등학교),051-740-2400,www.pusangangdong.es.kr/,남여공학,051-743-1954,  ,N,일반계,,전기,주간,19620301,19620301,20230615
C10,부산광역시교육청,7150084,개금고등학교,Kaekeum High School,고등학교,부산광역시,부산광역시교육청,공립,47169 ,부산광역시 부산진구 백양대로208번길 71,(개금동/ 개금고등학교),051-890-5600,http://kaekeum.hs.kr,남,051-894-1716,일반고,N,일반계,,전기,주간,19881221,19881221,20230615
C10,부산광역시교육청,7181072,개금여자중학교,Gaegum Girls Middle School,중학교,부산광역시,부산광역시남부교육지원청,공립,47176 ,부산광역시 부산진구 백양대로136번길 75,(당감동/개금여자중학교),051-607-3000,www.gaegum.ms.kr,여,051-607-3098,  ,N,일반계,,전기,주간,19880305,19880305,20230615
C10,부산광역시교육청,7181014,개금초등학교,Kaegum Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47266 ,부산광역시 부산진구 가야대로443번길 25-10,(개금동),051-893-0421,http://kaegum.es.kr/,남여공학,051-893-0422,  ,N,일반계,,전기,주간,19670424,19670424,20230615
C10,부산광역시교육청,7181073,개림중학교,Gaerim Middle School,중학교,부산광역시,부산광역시남부교육지원청,공립,47174 ,부산광역시 부산진구 백양대로300번길 46,(개금동/ 개림중학교),051-890-0700,www.gaerim.ms.kr,남여공학,051-896-7717,  ,N,일반계,,전기,주간,20010101,20010101,20230615
C10,부산광역시교육청,7181015,개림초등학교,Gaerim Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47175 ,부산광역시 부산진구 백양대로320번길 40,(개금동/ 개림초등학교),051-607-7001,,남여공학,051-607-7080,,N,일반계,,전기,주간,19970901,19970901,20230615
C10,부산광역시교육청,7150396,개성고등학교,Gaesung High School,고등학교,부산광역시,부산광역시교육청,공립,47158 ,부산광역시 부산진구 당감서로 137,(당감동/ 개성고등학교),051-897-6404,www.gaesung.hs.kr,남여공학,051-897-6532,일반고,N,일반계,,전기,주간,18950522,18950522,20230615
C10,부산광역시교육청,7181016,개원초등학교,Gaewon Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47164 ,부산광역시 부산진구 백양관문로77번길 17,/ 개원초등학교 (개금동),051-927-9640,http://kaewone.es.kr,남여공학,051-893-8776,  ,N,일반계,,전기,주간,19950301,19950301,20230615
C10,부산광역시교육청,7181017,개포초등학교,Gaepo Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47169 ,부산광역시 부산진구 백양대로208번길 9,(개금동/개포초등학교),051-930-8000,http://www.gaepo.es.kr,남여공학,051-930-8099,  ,N,일반계,,전기,주간,19890125,19890125,20230615
C10,부산광역시교육청,7181018,개화초등학교,Kaehwa Elementary School,초등학교,부산광역시,부산광역시남부교육지원청,공립,47167 ,부산광역시 부산진구 개금본동로66번길 12-12,(개금동/ 개화초등학교),051-890-0100,http://www.kae-hwa.es.kr,남여공학,051-890-0199,  ,N,일반계,,전기,주간,19840125,19840125,20230615
C10,부산광역시교육청,7191036,거성중학교,Geosung Middle School,중학교,부산광역시,부산광역시동래교육지원청,사립,47531 ,부산광역시 연제구 해맞이로109번길 61,/ 거성중학교 (거제동),051-504-5376,http://www.geosung.ms.kr,남,051-502-5536,  ,N,일반계,,전기,주간,19671129,19671129,20230615
C10,부산광역시교육청,7191010,거제여자중학교,keo-je Girls Middle School,중학교,부산광역시,부산광역시동래교육지원청,공립,47529 ,부산광역시 연제구 금용로 43,(거제동/거제여자중학교),051-933-5900,http://www.keo-je.ms.kr,여,051-933-5988,  ,N,일반계,,전기,주간,19920106,19920106,20230615
C10,부산광역시교육청,7191045,거제초등학교,Gueje Elementary School,초등학교,부산광역시,부산광역시동래교육지원청,공립,47535 ,부산광역시 연제구 해맞이로 39,(거제동/거제초등학교),051-506-0371,http://www.gue-je.es.kr,남여공학,051-505-1265,  ,N,일반계,,전기,주간,19460601,19460601,20230615
C10,부산광역시교육청,7191046,거학초등학교,Geohak Elementary School,초등학교,부산광역시,부산광역시동래교육지원청,공립,47504 ,부산광역시 연제구 교대로24번길 36,/ 36 (거제동/ 거학초등학교),051-502-4249,http://www.geohak.es.kr,남여공학,051-503-8031,  ,N,일반계,,전기,주간,19790510,19790510,20230615
C10,부산광역시교육청,7150120,건국고등학교,KEONKUK HIGH SCHOOL,고등학교,부산광역시,부산광역시교육청,사립,49326 ,부산광역시 사하구 승학로17번길 ,(하단동),051-292-0061,www.keonkuk.hs.kr,남,051-292-0048,일반고,N,일반계,,전기,주간,19490831,19490831,20230615
C10,부산광역시교육청,7171032,건국중학교,Keon-Kuk Middle School,중학교,부산광역시,부산광역시서부교육지원청,사립,49315 ,부산광역시 사하구 승학로17번길 76-8,/ 건국중학교 (하단동/ 건국중.고등학교),051-291-0067,http://www.keonkuk.ms.kr,남,051-291-0016,,N,일반계,,전기,주간,19450411,19450411,20230615
C10,부산광역시교육청,7150085,경남고등학교,Kyungnam High School,고등학교,부산광역시,부산광역시교육청,공립,49201 ,부산광역시 서구 망양로111번길 65,(동대신동3가/ 경남고등학교),051-250-5000,http://kyungnam.hs.kr,남,051-250-5099,일반고,N,일반계,,전기,주간,19420430,19420430,20230615
C10,부산광역시교육청,7150166,경남공업고등학교,Gyeong nam Technical High School,고등학교,부산광역시,부산광역시교육청,공립,47297 ,부산광역시 부산진구 전포대로175번길 22,(전포동/경남공업고등학교),051-607-7300,www.knt.hs.kr,남여공학,051-804-6901,특성화고,N,전문계,,전기,주간,19440211,19440211,20230615
C10,부산광역시교육청,7150086,경남여자고등학교,Gyeongnam Girls High School,고등학교,부산광역시,부산광역시교육청,공립,48777 ,부산광역시 동구 수정중로 29,(수정동/ 경남여자고등학교),051-600-0802,www.gyeongnamgirls.hs.kr,여,051-467-2959,일반고,N,일반계,,전기,주간,19270423,19270423,20230615
C10,부산광역시교육청,7150223,경남여자고등학교부설방송통신고등학교,The Air And Correspondence High School Annexed to Gyeongnam Girls High School,방송통신고등학교,부산광역시,부산광역시교육청,공립,48777 ,부산광역시 동구 수정중로 29,/ 경남여자고등학교 (수정동/ 경남여자고등학교),051-600-0803,,여,051-467-2959,일반고,N,일반계,,전기,주간,19740323,19740323,20230709
C10,부산광역시교육청,7181074,경남여자중학교,GYEONGNAM GIRLS MIDDLE SCHOOL,중학교,부산광역시,부산광역시남부교육지원청,공립,48795 ,부산광역시 동구 초량중로 142,(수정동),051-460-0700,http://school.busanedu.net/gyeongnam-gm-m,여,051-466-2414,  ,N,일반계,,전기,주간,19270423,19270423,20230615
C10,부산광역시교육청,7171011,경남중학교,GYEONGNAM MIDDLE SCHOOL,중학교,부산광역시,부산광역시서부교육지원청,공립,49224 ,부산광역시 서구 까치고개로229번길 7,(토성동3가/ 경남중학교),051-250-7501,www.gyeongnam.ms.kr,남,051-256-0957,  ,N,일반계,,전기,주간,19420430,19420430,20230615
C10,부산광역시교육청,7150429,경성전자고등학교,Kyeongseong Electronic High School,고등학교,부산광역시,부산광역시교육청,사립,49209 ,부산광역시 서구 꽃마을로 25,(서대신동3가/ 경성전자고등학교),051-253-2450,http://www.kse.hs.kr,남여공학,051-255-0472,특성화고,N,전문계,,전기,주간,19520925,19520925,20230615
C10,부산광역시교육청,7150121,경원고등학교,Kyungwon High School,고등학교,부산광역시,부산광역시교육청,사립,47176 ,부산광역시 부산진구 백양관문로 40,(당감동/ 경원고등학교),051-898-2215,www.kyungwon.hs.kr,남여공학,051-898-2219,일반고,N,일반계,,전기,주간,19871023,19871023,20230615
