시도교육청구분코드,시도교육청구분명,행정구역명,학원교습소구분명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,시설도로명주소,시설도로명상세주소,시설도로명우편번호,전화번호,수정일자
C10,부산광역시교육청,강서구,교습소,3000020166,1등급국어교습소,20210701,20210630,개원,        ,99991231,18,8,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제8로 234,", 707호 (명지동)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000013951,NNEnglish(앤앤영어)교습소,20141217,20141217,개원,        ,99991231,40,6,국제화,외국어,실용영어(초등),실용외국어(유아/초·중·고),"실용영어(초등):250000, 실용영어(중등):280000",Y,N,부산광역시 강서구 명지오션시티10로 17,", 상가동116동 104호 (명지동, 퀸덤1차아파트)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000013378,Sound of Music 실용음악교습소,20140513,20140513,개원,        ,99991231,9,9,예능(대),예능(중),초급,음악, ,Y,N,부산광역시 강서구 명지오션시티10로 17,", 상가동116동 111호 (명지동, 퀸덤1차아파트)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,5755,강서아카데미수학교습소,20040904,20040904,개원,        ,99991231,25,9,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):150000, 수학(중등):207000, 수학(고등A):390000, 수학(고등B):310000, 수학(고등C):260000",Y,N,부산광역시 강서구 대저로273번길 18,(대저1동),618803,051-971-4335,20231018
C10,부산광역시교육청,강서구,교습소,3000015262,경플루트음악교습소,20160222,20160322,개원,        ,99991231,30,7,예능(대),예능(중),,음악, ,Y,N,부산광역시 강서구 명지오션시티12로 92,", 상가C3 B120호 (명지동, 엘크루블루오션)",46764,,20231018
C10,부산광역시교육청,강서구,교습소,3000021546,과수원수학교습소,20230105,20230105,개원,        ,99991231,136,8,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:180000, 초등수학B:190000, 초등수학C:210000, 초등수학D:220000, 초등수학E:265000, 초등수학F:320000, 초등수학G:390000, 중등수학A:265000, 중등수학B:320000, 중등수학C:340000, 중등수학D:380000, 중등수학E:420000, 중등수학F:490000, 고등수학A:350000, 고등수학B:380000, 고등수학C:420000, 고등수학D:590000, 고등수학E:660000",Y,N,부산광역시 강서구 명지국제2로 41,", 3단지 판매시설 상가227호 (명지동, 더샵 명지퍼스트월드 3단지)",46726,,20240218
C10,부산광역시교육청,강서구,교습소,3000015439,국제예원미술교습소,20160520,20160520,개원,        ,99991231,32,4,예능(대),예능(중),미술초급,미술,"미술초급:150000, 미술중급:160000, 미술고급:200000, 미술입시:260000",Y,N,부산광역시 강서구 명지국제8로 245,", 804호 일부 (명지동)",46773,,20231018
C10,부산광역시교육청,강서구,교습소,3000020221,국제하연과학교습소,20210802,20210730,개원,        ,99991231,12,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제2로 80,", 비주거시설동 2층 20호 (명지동, e편한세상 명지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000021513,그로잉아트스튜디오미술교습소,20221220,20221220,개원,        ,99991231,45,9,예능(대),예능(중),,미술, ,Y,N,부산광역시 강서구 명지국제8로 270,", 605호 (명지동)",46772,,20231217
C10,부산광역시교육청,강서구,교습소,3000019217,그리고놀작미술교습소,20200306,20200306,개원,        ,99991231,56,13,예능(대),예능(중),"미술고급(유,초등)A",음악,"미술고급(유,초등)A:80000, 미술고급(유,초등)B:100000, 미술고급(유,초등)C:110000, 미술고급(유,초등)D:120000, 미술고급(유,초등)E:150000, 미술고급(유,초등)F:150000, 미술고급(유,초등)G:170000",Y,N,부산광역시 강서구 명지국제5로 29,", 115동 103호 (명지동, 명지 국제신도시 호반베르디움 1차)",46726,,20231018
